City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,tekkekoy,41.2117,36.46,21.86,73,40,3.6,TR,1698669491
174,kiskunmajsa,46.4903,19.74,23.05,29,56,5.63,HU,1698669491
175,baukau,51.5526,7.2042,16.89,65,100,1.34,DE,1698669491
176,sao vicente,-23.9631,-46.3919,30.15,55,0,2.68,BR,1698669491
177,kaltan,53.5347,87.2457,-2.73,99,100,1.1,RU,1698669202
178,solwezi,-12.1688,26.3894,28.34,38,100,2.0,ZM,1698669492
179,teshi old town,5.5836,-0.1072,32.31,62,20,4.12,GH,1698669492
180,cooma,-36.2333,149.1333,13.02,53,0,6.44,AU,1698669492
181,hami,42.8,93.45,13.63,35,11,2.97,CN,1698669113
182,natal,-5.795,-35.2094,28.36,61,75,6.17,BR,1698669493
183,grambling,32.5276,-92.714,8.72,93,100,4.12,US,1698669493
184,qaqortoq,60.7167,-46.0333,5.92,60,100,11.02,GL,1698669014
185,dhidhdhoo,6.8833,73.1,27.12,73,100,1.69,MV,1698669493
186,bereeda,11.8704,51.0579,27.44,73,36,5.11,SO,1698669494
187,hazro city,33.9091,72.4921,25.35,34,0,1.53,PK,1698669494
188,posse,-14.0931,-46.3694,34.36,19,37,3.0,BR,1698669494
189,kano,12.0001,8.5167,35.94,17,0,5.66,NG,1698669494
190,pacific grove,36.6177,-121.9166,15.36,43,0,0.0,US,1698669078
191,navia,43.5354,-6.7194,16.43,64,100,5.48,ES,1698669495
192,ulsteinvik,62.3432,5.8487,5.73,54,0,6.26,NO,1698669146
193,cidreira,-30.1811,-50.2056,22.21,78,100,4.9,BR,1698669165
194,shimoda,34.6667,138.95,13.95,69,22,1.42,JP,1698669495
195,bamboo flat,11.7,92.7167,28.05,83,40,1.54,IN,1698669057
196,enewetak,11.3474,162.3373,28.73,74,100,7.82,MH,1698669080
197,kirakira,-10.4544,161.9205,25.85,88,98,4.51,SB,1698669496
198,ancud,-41.8697,-73.8203,7.41,83,100,5.36,CL,1698669172
199,guantanamo,20.1444,-75.2092,24.76,81,20,0.61,CU,1698669496
200,aykhal,66.0,111.5,-19.95,97,100,3.02,RU,1698669205
201,gomez farias,23.05,-99.15,19.34,90,68,3.16,MX,1698669497
202,palikir - national government center,6.9248,158.1611,27.41,83,100,3.09,FM,1698669133
203,vorgashor,67.5833,63.95,-18.47,98,100,2.21,RU,1698669035
204,gorontalo,0.5412,123.0595,25.36,87,24,0.47,ID,1698668931
205,niamey,13.5137,2.1098,41.16,7,0,5.66,NE,1698669497
206,najran,17.4924,44.1277,28.36,35,74,4.77,SA,1698669498
207,ierapetra,35.01,25.7353,23.52,67,24,0.37,GR,1698669498
208,phillip island,-38.4835,145.231,14.71,72,98,11.77,AU,1698669498
209,linxia chengguanzhen,35.6003,103.2064,12.48,41,78,0.84,CN,1698669498
210,guerrero negro,27.9769,-114.0611,17.29,58,0,2.07,MX,1698669185
211,george town,5.4112,100.3354,28.96,87,20,1.54,MY,1698669324
212,sawakin,19.1059,37.3321,30.7,64,91,5.14,SD,1698669499
213,illizi,26.4833,8.4667,35.89,10,6,2.0,DZ,1698669499
214,moranbah,-22.0016,148.0466,19.29,61,4,3.42,AU,1698669499
215,mabaruma,8.2,-59.7833,30.31,67,29,2.17,GY,1698669500
216,kurayoshi,35.4333,133.8167,12.95,81,1,1.68,JP,1698669500
217,maracas,-13.4411,-40.4308,28.02,29,84,1.81,BR,1698669500
218,kiuruvesi,63.65,26.6167,-3.79,90,24,0.65,FI,1698669500
219,zouerate,22.7187,-12.4521,36.11,9,0,1.76,MR,1698669501
220,toliara,-23.35,43.6667,26.12,64,4,7.56,MG,1698669175
221,shahrud,36.4182,54.9763,17.26,56,100,7.65,IR,1698669501
222,choyr,46.3611,108.3611,-2.18,80,8,6.07,MN,1698669501
223,grand-bassam,5.2118,-3.7388,29.98,71,71,3.55,CI,1698669501
224,san jose,37.3394,-121.895,15.56,43,0,0.45,US,1698668802
225,fuglafjordur,62.244,-6.814,5.26,68,100,7.05,FO,1698669502
226,alesund,62.4723,6.1549,5.74,58,0,7.2,NO,1698669106
227,santa ana de yacuma,-13.75,-65.4333,26.97,78,75,4.12,BO,1698669179
228,valle de la pascua,9.2155,-66.0073,29.59,60,48,2.61,VE,1698669502
229,alto araguaia,-17.3147,-53.2153,32.34,42,7,3.86,BR,1698669503
230,herbrechtingen,48.6217,10.176,14.25,80,100,2.89,DE,1698669503
231,vilhena,-12.7406,-60.1458,25.12,83,14,2.57,BR,1698669503
232,nema,57.5067,50.5011,-1.33,80,100,3.77,RU,1698669503
233,aasiaat,68.7098,-52.8699,-5.91,87,97,5.38,GL,1698669101
234,island harbour,50.724,-1.2758,14.61,84,98,2.68,GB,1698669504
235,tolanaro,-25.0319,46.9987,26.04,83,75,5.14,MG,1698669052
236,nova sintra,14.8667,-24.7167,23.43,63,100,0.69,CV,1698669087
237,chania,35.5122,24.0156,24.78,73,20,2.06,GR,1698669505
238,kodiak,57.79,-152.4072,7.73,100,100,3.6,US,1698669058
239,coahuayana de hidalgo,18.7,-103.6583,24.62,92,36,1.37,MX,1698669505
240,maracacume,-2.0428,-45.9592,34.18,40,61,2.7,BR,1698669505
241,harar,9.3094,42.1258,21.84,53,61,1.08,ET,1698669505
242,kapuskasing,49.4169,-82.4331,-4.95,93,75,3.09,CA,1698669049
243,san fernando de apure,7.8878,-67.4724,28.76,72,58,1.34,VE,1698669506
244,fort bragg,35.139,-79.006,17.91,97,0,3.6,US,1698668941
245,puerto baquerizo moreno,-0.9,-89.6,23.01,80,90,5.14,EC,1698668880
246,pagar alam,-4.0167,103.2667,24.69,54,91,0.84,ID,1698669506
247,mumford,5.2618,-0.759,28.49,76,41,3.86,GH,1698669507
248,bambanglipuro,-7.95,110.2833,25.98,86,7,2.44,ID,1698669507
249,alice springs,-23.7,133.8833,26.75,9,52,2.57,AU,1698669071
